,date,src,doi,git_hits,osf_hits,nda_hits,open_neuro,fmri,res,yr,pmcid,idx
0,20181124,PMC,10.5812/ircmj.15308,0,0,0,0,0,10,2014,PMC4270654,0
1,20181124,PMC,10.5812/ircmj.21835,0,0,0,0,0,3,2014,PMC4270655,1
2,20181124,PMC,10.5812/ircmj.15312,0,0,0,0,0,4,2014,PMC4270656,2
3,20181123,PMC,10.5812/ircmj.14919,0,0,0,0,0,2,2014,PMC4270657,3
4,20181124,PMC,10.5812/ircmj.15164,0,0,0,0,0,0,2014,PMC4270658,4
5,20181124,PMC,10.5812/ircmj.15469,0,0,0,0,0,11,2014,PMC4270659,5
6,20181120,PMC,10.5812/ircmj.18404,0,0,0,0,0,9,2014,PMC4270660,6
7,20181120,PMC,10.5812/ircmj.12608,0,0,0,0,0,7,2014,PMC4270661,7
8,20181121,PMC,10.5812/ircmj.14658,0,0,0,0,0,5,2014,PMC4270662,8
9,20181120,PMC,10.5812/ircmj.16239,0,0,0,0,0,5,2014,PMC4270663,9
10,20181120,PMC,10.5812/ircmj.16386,0,0,0,0,0,3,2014,PMC4270664,10
11,20181120,PMC,10.5812/ircmj.14254,0,0,0,0,0,6,2014,PMC4270665,11
12,20190103,PMC,10.5812/ircmj.14682,0,0,0,0,0,4,2014,PMC4270666,12
13,20181120,PMC,10.5812/ircmj.15931,0,0,0,0,0,9,2014,PMC4270667,13
14,20181120,PMC,10.5812/ircmj.19684,0,0,0,0,0,8,2014,PMC4270668,14
15,20181120,PMC,10.5812/ircmj.16319,0,0,0,0,0,8,2014,PMC4270669,15
16,20181201,PMC,10.5812/ircmj.21366,0,0,0,0,0,5,2014,PMC4270670,16
17,20181201,PMC,10.5812/ircmj.14589,0,0,0,0,0,5,2014,PMC4270671,17
18,20181202,PMC,10.5812/ircmj.15429,0,0,0,0,0,5,2014,PMC4270672,18
19,20181202,PMC,10.5812/ircmj.16075,0,0,0,0,0,18,2014,PMC4270673,19
20,20181202,PMC,10.5812/ircmj.16801,0,0,0,0,0,4,2014,PMC4270674,20
21,20181202,PMC,10.5812/ircmj.14491,0,0,0,0,0,0,2014,PMC4270675,21
22,20181201,PMC,10.5812/ircmj.9600,0,0,0,0,0,5,2014,PMC4270676,22
23,20181201,PMC,10.5812/ircmj.21350,0,0,0,0,0,0,2014,PMC4270677,23
24,20181201,PMC,10.5812/ircmj.16323,0,0,0,0,0,7,2014,PMC4270678,24
25,20181201,PMC,10.5812/ircmj.18797,0,0,0,0,0,12,2014,PMC4270679,25
26,20181106,PMC,10.5812/ircmj.11794,0,0,0,0,0,11,2014,PMC4270680,26
27,20181106,PMC,10.5812/ircmj.13584,0,0,0,0,0,5,2014,PMC4270681,27
28,20190103,PMC,10.5812/ircmj.11662,0,0,0,0,0,1,2014,PMC4270682,28
29,20181106,PMC,10.5812/ircmj.14722,0,0,0,0,0,4,2014,PMC4270683,29
30,20181106,PMC,10.1371/journal.pone.0114663,0,0,0,0,0,11,2014,PMC4270684,30
31,20190204,PMC,10.1371/journal.pntd.0003313,0,0,0,0,0,8,2014,PMC4270685,31
32,20181106,PMC,10.1371/journal.pgen.1004891,0,0,0,0,0,6,2014,PMC4270686,32
33,20190224,PMC,10.1371/journal.pone.0110752,0,0,0,0,0,4,2014,PMC4270687,33
34,20181106,PMC,10.1371/journal.pntd.0003399,0,0,0,0,0,4,2014,PMC4270688,34
35,20181106,PMC,10.1371/journal.pntd.0003402,0,0,0,0,0,6,2014,PMC4270689,35
36,20181121,PMC,10.1371/journal.pone.0114486,0,0,0,0,0,8,2014,PMC4270690,36
37,20181121,PMC,10.1371/journal.pone.0114698,0,0,0,0,0,3,2014,PMC4270691,37
38,20181121,PMC,10.1371/journal.pntd.0003363,0,0,0,0,0,7,2014,PMC4270692,38
39,20181121,PMC,10.1371/journal.pntd.0003401,0,0,0,0,0,6,2014,PMC4270693,39
40,20181121,PMC,10.1371/journal.pone.0114581,0,0,0,0,0,5,2014,PMC4270694,40
41,20181112,PMC,10.1111/ccr3.19,0,0,0,0,0,0,2014,PMC4270700,41
42,20190103,PMC,10.1002/ccr3.193,0,0,0,0,0,0,2014,PMC4270701,42
43,20181112,PMC,10.1002/ccr3.93,0,0,0,0,0,0,2014,PMC4270702,43
44,20181112,PMC,10.1002/ccr3.98,0,0,0,0,0,0,2014,PMC4270703,44
45,20181112,PMC,10.1002/ccr3.101,0,0,0,0,0,0,2014,PMC4270704,45
46,20181112,PMC,10.1002/ccr3.104,0,0,0,0,0,2,2014,PMC4270705,46
47,20181112,PMC,10.1002/ccr3.106,0,0,0,0,0,0,2014,PMC4270706,47
48,20181112,PMC,10.1002/ccr3.108,0,0,0,0,0,1,2014,PMC4270707,48
49,20181112,PMC,10.1002/ccr3.110,0,0,0,0,0,1,2014,PMC4270708,49
50,20181112,PMC,10.1002/ccr3.111,0,0,0,0,0,0,2014,PMC4270709,50
51,20181130,PMC,10.1002/ccr3.112,0,0,0,0,0,1,2014,PMC4270710,51
52,20181130,PMC,10.1002/ccr3.113,0,0,0,0,0,3,2014,PMC4270711,52
53,20181130,PMC,10.1002/ccr3.114,0,0,0,0,0,1,2014,PMC4270712,53
54,20181130,PMC,10.1002/ccr3.115,0,0,0,0,0,4,2014,PMC4270713,54
55,20181130,PMC,10.1002/ccr3.117,0,0,0,0,0,3,2014,PMC4270714,55
56,20181130,PMC,10.1002/ccr3.119,0,0,0,0,0,0,2014,PMC4270715,56
57,20181130,PMC,10.1002/ccr3.121,0,0,0,0,0,6,2014,PMC4270716,57
58,20181130,PMC,10.1002/ccr3.123,0,0,0,0,0,0,2014,PMC4270717,58
59,20181130,PMC,10.1002/ccr3.127,0,0,0,0,0,0,2014,PMC4270718,59
60,20181130,PMC,10.1002/ccr3.129,0,0,0,0,0,1,2014,PMC4270719,60
61,20181210,PMC,10.1002/ccr3.130,0,0,0,0,0,1,2014,PMC4270720,61
62,20181210,PMC,10.1002/ccr3.120,0,0,0,0,0,0,2014,PMC4270721,62
63,20181210,PMC,10.1002/ccr3.122,0,0,0,0,0,0,2014,PMC4270722,63
64,20181210,PMC,10.1002/ccr3.132,0,0,0,0,0,0,2014,PMC4270723,64
65,20181207,PMC,10.1002/ccr3.134,0,0,0,0,0,0,2014,PMC4270724,65
66,20181207,PMC,10.1371/journal.pntd.0003405,0,0,0,0,0,10,2014,PMC4270725,66
67,20181207,PMC,10.1371/journal.pntd.0003412,0,0,0,0,0,4,2014,PMC4270726,67
68,20181207,PMC,10.1371/journal.pone.0115292,0,0,0,0,0,8,2014,PMC4270727,68
69,20181207,PMC,10.1371/journal.pone.0115159,0,0,0,0,0,11,2014,PMC4270728,69
70,20181207,PMC,10.1371/journal.pone.0115248,0,0,0,0,0,16,2014,PMC4270729,70
71,20190224,PMC,10.1371/journal.pone.0115118,0,0,0,0,0,5,2014,PMC4270730,71
72,20181210,PMC,10.1371/journal.pone.0115239,0,0,0,0,0,20,2014,PMC4270734,72
73,20181207,PMC,10.1371/journal.pone.0115145,0,0,0,0,0,5,2014,PMC4270735,73
74,20190418,PMC,10.1038/hdy.2014.80,0,0,0,0,0,9,2015,PMC4270736,74
75,20181210,PMC,10.1038/nmat4114,0,0,0,0,0,3,2015,PMC4270737,75
76,20181210,PMC,10.1038/mi.2014.70,0,0,0,0,0,8,2014,PMC4270738,76
77,20181210,PMC,10.1038/mp.2014.105,0,0,0,0,0,10,2014,PMC4270739,77
78,20181110,PMC,10.1371/journal.pone.0115161,0,0,0,0,0,6,2014,PMC4270740,78
79,20181110,PMC,10.1371/journal.pone.0115198,0,0,0,0,0,15,2014,PMC4270741,79
80,20181110,PMC,10.1038/nmat4113,0,0,0,0,0,7,2015,PMC4270742,80
81,20190204,PMC,10.1371/journal.pntd.0003384,0,0,0,0,0,20,2014,PMC4270743,81
82,20181110,PMC,10.1371/journal.pone.0115216,0,0,0,0,0,3,2014,PMC4270744,82
83,20181110,PMC,10.1371/journal.pone.0115252,0,0,0,0,0,17,2014,PMC4270745,83
84,20181110,PMC,10.1371/journal.pntd.0003373,0,0,0,0,0,9,2014,PMC4270746,84
85,20181110,PMC,10.1371/journal.pntd.0003387,0,0,0,0,0,4,2014,PMC4270747,85
